Player,Velo,Offspeed Usage,Year
Aaron Shortridge,0,0,2021
Jack Hartman,0,0,2020
Alex Faedo,0,0,2020
Mike Clevinger,95.1,45.2,2020
Efrain Contreras,0,0,2020
Carter Baumier,0,0,2020
Ricardo Sanchez,91.6,32.5,2020
Nick Burdi,98.1,45.7,2020
Chance Adams,91.7,48.3,2020
Luis Perdomo,93.7,56.9,2020
Jake Irvin,0,0,2020
Justin Verlander,94.9,38.4,2020
Ken Giles,93.1,58,2020
Dakota Hudson,92.6,38.7,2020
Caleb Ferguson,95.5,0,2020
Ricky Vanasco,0,0,2020
Tyler Thornburg,93,21.8,2020
Jalen Beeks,93,43.7,2020
Matt Bowman,92.5,44.9,2020
Luis Durango Jr.,0,0,2020
Yonny Chirinos,94.2,39.5,2020
Darlin Noboa,0,0,2020
Sam Freeman,93.9,29.4,2020
Foster Griffin,91.8,17.3,2020
Tommy Kahnle,97.4,65,2020
Austen Williams,92.1,58.6,2020
Seranthony Dominguez,97.3,38.8,2020
Colin Poche,92.9,11.5,2020
Daniel Tillo,0,0,2020
Justin Anderson,94.6,52.1,2020
Peter Lambert,92.7,46.8,2020
Trey Wingenter,95.9,45,2020
Ty Blach,90.2,36,2020
John Brebbia,93.5,43.4,2020
Kade Mechals,0,0,2020
Chris Sale,93.4,54,2020
Noah Syndergaard,97.8,41,2020
Blaine Hardy,88.2,64.8,2020
Tyler Beede,94.2,43.9,2020
Andres Munoz,99.9,32.5,2020
Reggie Lawson,0,0,2020
Joey Wentz,0,0,2020
Conner O Neil,0,0,2020
Matt Carasiti,95.4,21.1,2020
Matt Festa,92.6,46.7,2020
J.T. Ginn,0,0,2020
Ryan Garcia,0,0,2020
Luis Severino,96.1,43.3,2020
Hunter Schryver,0,0,2020
Eric Pardinho,0,0,2020
Jose Soriano,0,0,2020
Jared Solomon,0,0,2020
Zack Matthews,0,0,2020
Sadrac Franco,0,0,2020
Buddy Hayward,0,0,2019
Daniel Acosta,0,0,2019
Aaron Hicks,0,0,2019
Kutter Crawford,0,0,2019
Lun Zhao,0,0,2019
Steven Wright,82.9,89.4,2019
Connor Sadzeck,96.4,53.3,2019
Jose Alberro,0,0,2019
Tim Mayza,94.3,35.6,2019
Pablo Sandoval,0,0,2019
Adam Warren,91.4,69.1,2019
Connor Van Scoyoc,0,0,2019
Dax Fulton,0,0,2019
Edouard Julien,0,0,2019
Pedro Avila,93.6,70.6,2019
Jeremiah Estrada,0,0,2019
Blake Townsend,0,0,2019
David Robertson,91.7,42.7,2019
Chasen Bradford,90.6,48,2019
Jameson Taillon,94.7,53,2019
Gus Varland,0,0,2019
Raynel Espinal,0,0,2019
Leoner Colina,0,0,2019
Ricky Karcher,0,0,2019
Blake Lillis,0,0,2019
Alec Kenilvort,0,0,2019
Josh Rogers,89.4,46.7,2019
Corbin Martin,95.3,37.4,2019
Garrett Whitlock,0,0,2019
Sam Tewes,0,0,2019
Matt Bush,96.2,23.2,2019
Jean Casanova,0,0,2019
Jordan Hicks,100.9,40,2019
Ryan Burr,95,17.1,2019
Jimmy Lambert,92.7,51.5,2019
Cole Bellinger,0,0,2019
Cale Coshow,0,0,2019
Corey Taylor,0,0,2019
Michael Limoncelli,0,0,2019
Victor Soteldo,0,0,2019
John Swanda,0,0,2019
Akil Baddoo,0,0,2019
Miguel Mercedes,0,0,2019
Trevor Bettencourt,0,0,2019
Dantel Ramirez,0,0,2019
Duncan Robinson,0,0,2019
Tyler Wells,94,36.2,2019
John Fasola,0,0,2019
Ryan Boldt,0,0,2019
Tate Budnick,0,0,2019
Carlos Rodon,92.8,48,2019
Lenny Torres,0,0,2019
Cole Ragans,0,0,2019
Zach Pop,95.5,17.6,2019
Kyle Young,0,0,2019
Sahid Valenzuela,0,0,2019
Jake Thompson,90.6,54.2,2019
Sean Mooney,0,0,2019
Trey Benton,0,0,2019
Ben Brown,0,0,2019
Nolan Hoffman,0,0,2019
Jamal Wade,0,0,2019
Owen White,0,0,2019
Anderson Espinoza,0,0,2019
A.J. Ladwig,0,0,2019
Mason Englert,0,0,2019
Corey Black,0,0,2019
Hunter Greene,0,0,2019
Ryan Dease,0,0,2019
Corey Knebel,96.9,29,2019
Jack DeGroat,0,0,2019
Davis Daniel,0,0,2019
Braydon Fisher,0,0,2019
Matt Sauer,0,0,2019
Michael Fulmer,95.8,38.5,2019
Brady Puckett,0,0,2019
Preston Gainey,0,0,2018
Ryan Brinley,0,0,2019
Dane Dunning,91.3,22.9,2019
Silvino Bracho,93.2,57.1,2019
Drew Smith,96.3,22,2019
Mark Leiter Jr.,91.4,37.3,2019
Salvador Perez,0,0,2019
Trey Cobb,0,0,2019
Billy Sullivan,0,0,2019
Chris Smith,93.6,31.6,2019
Spencer Strider,0,0,2019
Graham Hoffman,0,0,2019
Roniel Raudes,0,0,2019
Sal Giardina,0,0,2019
Jerry Vasto,91,45.8,2019
Peter Solomon,0,0,2019
Noah Bryant,0,0,2019
Stephen Greenlees,0,0,2019
Garrett Davila,0,0,2019
Ashe Russell,0,0,2019
Nolan Watson,0,0,2019
Braidyn Fink,0,0,2019
Carlos Suniaga,0,0,2019
Michael Montero,0,0,2019
Mason Feole,0,0,2019
Max Roberts,0,0,2019
Levi Stoudt,0,0,2019
Lance McCullers Jr.,94.2,62.7,2018
Franklyn Kilome,94.4,46.2,2018
Didi Gregorius,0,0,2018
Edgar Santana,94.8,42.6,2018
Carson Ragsdale,0,0,2018
Kale Emshoff,0,0,2018
Shohei Ohtani,96.8,53.6,2018
Tylor Fischer,0,0,2018
Chad Kuhl,95.3,41.3,2018
Michael Kopech,95.4,32.8,2018
