Name,Team,Level,Position,Throws,Age,Year,AB (All Levels),IP (All Levels),G (All Levels)
Pat Neshek,MIN,MLB,RP,R,27,2008,0,415.3,327
Casey Weathers,COL,AA,RP,R,23,2008,0,59,58
Shaun Marcum,TOR,MLB,SP,R,26,2008,0,805.6,183
Drake Britton,BOS,A-,SP,L,19,2008,0,33.6,8
Billy Wagner,NYM,MLB,RP,L,36,2008,55,1226,840
Jaime Garcia,STL,MLB,SP,L,21,2008,38,380.3,72
Michael Olmsted,NYM,A,SP,R,21,2008,0,69.3,18
Mike Parisi,STL,AAA,SP,R,25,2008,76,658.6,122
Salvador Aguilar,NYM,AA,SP,R,26,2008,30,425.3,92
Tim Hudson,ATL,MLB,SP,R,32,2008,271,2288.3,353
Sergio Mitre,NYY,MLB,SP,R,27,2008,147,899.3,179
Dae-Eun Rhee,CHC,A,SP,R,19,2008,0,40,10
Jake McGee,TB,AA,SP,L,21,2008,0,485,94
Norris Hopper,CIN,MLB,OF,R,29,2008,396,0,168
Matt Chico,WAS,MLB,SP,L,25,2008,104,767.3,145
Gregorio Rosario,CLE,Rk,SP,R,21,2008,1,117.3,25
Jake Westbrook,CLE,MLB,SP,R,30,2008,36,1880.3,337
Hector Gomez,COL,A+,SS,R,20,2008,316,0,83
Charlie Furbush,DET,A,SP,L,22,2008,0,61.6,12
Drew VerHagen,DET,HS,RP,R,17,2008,0,0,0
Harold Mozingo,KC,A,SP,R,23,2008,0,148.6,34
Fautino De Los Santos,OAK,A+,SP,R,22,2008,0,193.6,41
Chris Capuano,MIL,MLB,SP,L,29,2008,272,1165,203
Peter Moylan,ATL,MLB,RP,R,29,2008,6,250,168
Shane Greene,NYY,Coll,RP,R,19,2008,0,23,12
A.J. Ramos,MIA,Coll,RP,R,21,2008,0,33.6,25
Nick Hagadone,BOS,A,SP,L,22,2008,0,34.3,13
Macay McBride,DET,MLB,RP,L,25,2008,34,695.6,287
Andy Sisco,CHW,AAA,RP,L,25,2008,2,563,246
Mike Zagurski,PHI,MLB,RP,L,25,2008,1,155,105
Kyle Waldrop,MIN,AA,SP,R,22,2008,0,521.6,91
Ray Black,SF,Coll,RP,R,18,2008,0,20,18
Mark McLemore,HOU,MLB,RP,L,27,2008,20,437,172
Yonata Ortega,ARI,Rk,RP,R,21,2008,0,95.3,33
Randy Henry,BAL,HS,SP,R,18,2008,0,0,0
Lee Gronkiewicz,BOS,AAA,RP,R,29,2008,0,418,347
Tommy Hottovy,BOS,AA,SP,L,26,2008,0,426.6,93
Travis Webb,CIN,A,SP,L,23,2008,0,154.3,41
Cody Allen,CLE,Coll,SP,R,19,2008,0,83.6,13
Kevin Chapman,KC,Coll,RP,L,20,2008,0,18,14
Tyler Webb,NYY,HS,SP,L,17,2008,0,0,0
Colby Shreve,PHI,Coll,RP,R,20,2008,0,109.3,23
John Hussey,SD,A,SP,R,21,2008,0,157.3,50
Dustin Ackley,SEA,Coll,OF,R,20,2008,333,0,90
Mark Minicozzi,SF,AA,IF,R,25,2008,1191,0,327
Hak-Ju Lee,TB,HS,SS,R,17,2008,0,0,0
