Player,Team,Level,Position,Throws,Age,Year,AB Before Surgery,IP Before Surgery,G Before Surgery
Aaron Shortridge,PIT,A+,SP,R,24,2021,0,370.6,87
Jack Hartman,PIT,Coll,RP,R,21,2020,0,33.6,30
Alex Faedo,DET,AA,SP,R,24,2020,0,526,102
Mike Clevinger,SD,MLB,SP,R,29,2020,10,983.3,105
Efrain Contreras,SD,A,SP,R,20,2020,0,178,41
Carter Baumier,BAL,HS,RP,R,18,2020,0,0,0
Ricardo Sanchez,STL,MLB,RP,L,23,2020,0,521.3,321
Nick Burdi,PIT,MLB,RP,R,27,2020,0,126.3,16
Chance Adams,KC,MLB,SP,R,25,2020,0,41.6,22
Luis Perdomo,SD,MLB,RP,R,27,2020,99,444.3,133
Jake Irvin,WAS,A,SP,R,23,2020,0,149,36
Justin Verlander,HOU,MLB,SP,R,37,2020,50,3006.3,474
Ken Giles,TOR,MLB,RP,R,29,2020,0,351,357
Dakota Hudson,STL,MLB,SP,R,25,2020,52,520,85
Caleb Ferguson,LAD,MLB,RP,L,23,2020,7,112.3,96
Ricky Vanasco,TEX,A,RP,R,21,2020,0,83.1,28
Tyler Thornburg,CIN,MLB,RP,R,31,2020,25,269.3,192
Jalen Beeks,TB,MLB,RP,L,26,2020,5,174.3,59
Matt Bowman,CIN,MLB,RP,R,29,2020,3,181.3,67
Luis Durango Jr.,CLE,HS,CF,L,17,2020,65,0,39
Yonny Chirinos,TB,MLB,SP,R,26,2020,3,234.3,47
Darlin Noboa,CLE,Rk,RP,R,20,2020,0,29,13
Sam Freeman,WAS,MLB,RP,L,23,2020,3,233.6,271
Foster Griffin,KC,MLB,RP,L,24,2020,0,710,142
Tommy Kahnle,NYY,MLB,RP,R,30,2020,3,272.6,285
Austen Williams,WAS,AA,RP,R,27,2020,0,10,12
Seranthony Dominguez,PHI,MLB,SP,R,25,2020,2,409.6,166
Colin Poche,TB,MLB,RP,L,26,2020,0,226.3,173
Daniel Tillo,KC,AA,SP,L,24,2020,0,301.6,65
Justin Anderson,LAA,MLB,RP,R,27,2020,0,102.3,111
Peter Lambert,COL,MLB,SP,R,23,2020,28,89.3,19
Trey Wingenter,SD,MLB,RP,R,26,2020,0,70,73
Ty Blach,BAL,MLB,SP,L,29,2020,78,326.3,92
John Brebbia,STL,MLB,RP,R,30,2020,4,175,161
Kade Mechals,CHW,Coll,SP,R,22,2020,0,194,48
Chris Sale,BOS,MLB,SP,L,31,2020,25,1629.6,312
Noah Syndergaard,NYM,MLB,SP,R,27,2020,222,716,119
Blaine Hardy,MIN,MLB,RP,L,33,2020,1,289.2,233
Tyler Beede,SF,MLB,SP,R,27,2020,40,124.6,35
Andres Munoz,SD,MLB,RP,R,21,2020,0,137.6,68
Reggie Lawson,SD,AA,SP,R,22,2020,2,237.3,55
Joey Wentz,DET,AA,SP,L,22,2020,17,371.3,79
Conner O Neil,NYM,A+,RP,R,25,2020,0,336,167
Matt Carasiti,SF,AAA,RP,R,28,2020,1,25.3,30
Matt Festa,SEA,AAA,RP,R,27,2020,0,30.6,28
J.T. Ginn,NYM,HS,RP,R,21,2020,0,0,0
Ryan Garcia,TEX,A-,SP,R,22,2020,89,305.6,89
Luis Severino,NYY,MLB,SP,R,26,2020,12,530,99
Hunter Schryver,CHW,AAA,SP,L,25,2020,0,277.3,53
Eric Pardinho,TOR,A,SP,R,19,2020,0,87.6,19
Jose Soriano,LAA,A,SP,R,21,2020,0,238,61
Jared Solomon,CIN,A+,SP,R,23,2020,0,266.6,69
Zack Matthews,HOU,Coll,RP,R,21,2020,0,42.3,41
Sadrac Franco,LAA,Rk,RP,R,20,2020,0,76,29
Buddy Hayward,PHI,Coll,RP,R,20,2019,78,140,35
Daniel Acosta,MIL,Rk,RP,R,22,2019,0,82.3,60
Aaron Hicks,NYY,MLB,OF,R,29,2019,2148,0,654
Kutter Crawford,BOS,AA,SP,R,23,2019,0,317,62
Lun Zhao,MIL,Rk,RP,R,17,2019,0,8.1,6
Steven Wright,BOS,MLB,RP,R,34,2019,5,347.6,81
Connor Sadzeck,SEA,MLB,RP,R,27,2019,0,564,188
Jose Alberro,MIL,Rk,RP,L,21,2019,0,102.3,53
Tim Mayza,TOR,MLB,RP,L,27,2019,0,104,124
Pablo Sandoval,SF,MLB,3B,R,32,2019,4452,2,1277
Adam Warren,SD,MLB,RP,R,31,2019,6,492.1,323
Connor Van Scoyoc,LAA,Rk,RP,R,19,2019,0,40.3,12
Dax Fulton,MIA,HS,SP,L,17,2019,0,0,0
Edouard Julien,MIN,Coll,2B,R,20,2019,544,0,157
Pedro Avila,SD,AA,SP,R,22,2019,1,345.6,89
Jeremiah Estrada,CHC,A-,RP,R,20,2019,0,17,7
